date,RV,RQ,RS_plus,RS_minus,delta_J,BV,TPQ,MedRQ,nobs
1997-09-23,0.000220927967,3.648754e-11,5.35827002e-05,0.000167345267,-0.0001137625668,0.000187567426,1.298793e-11,8.479546000000002e-12,78
1997-09-24,0.000173786617,9.50679e-12,0.0001160184438,5.7768173000000007e-05,5.82502708e-05,0.000171870529,8.919358000000001e-12,4.62925e-12,78
1997-09-25,0.000126197877,1.0623480000000002e-11,6.60305437e-05,6.0167333000000006e-05,5.8632106999999995e-06,0.000110534275,5.752782e-12,2.461369000000001e-12,78
1997-09-26,6.8756292e-05,1.2786570000000002e-12,4.66451666e-05,2.2111126e-05,2.45340406e-05,7.8235294e-05,2.5404140000000004e-12,9.409942000000002e-13,78
1997-09-29,0.000167902749,1.0908210000000002e-11,6.3279541e-05,0.000104623208,-4.1343667000000005e-05,0.000215177207,2.578826000000001e-11,7.529279000000001e-12,78
1997-09-30,0.000281882407,3.2039100000000004e-11,0.0001712186003,0.000110663807,6.05547933e-05,0.00027190532,2.3518780000000003e-11,1.429045e-11,78
1997-10-01,0.000157188765,1.0278690000000002e-11,6.69250817e-05,9.0263683e-05,-2.3338601299999995e-05,0.000146139928,5.726516e-12,2.489137e-12,78
1997-10-02,0.000143477721,8.521528e-12,7.46676679e-05,6.8810053e-05,5.8576148999999965e-06,0.000128944024,6.257558e-12,2.3214640000000004e-12,78
1997-10-03,0.000157361092,7.378068e-12,8.23103645e-05,7.5050728e-05,7.2596365e-06,0.00017587844,1.213276e-11,4.748527000000001e-12,78
1997-10-06,0.000328123237,5.6725540000000005e-11,0.0001265228079,0.000201600429,-7.507762110000003e-05,0.000280810958,2.8300490000000004e-11,2.1095080000000003e-11,78
1997-10-07,0.000138141588,7.498184e-12,7.00904643e-05,6.8051123e-05,2.039341299999997e-06,0.00012858673,5.528515000000001e-12,4.034411000000001e-12,78
1997-10-08,0.000155454572,3.383762e-11,0.0001234746702999,3.1979902e-05,9.149476829999998e-05,0.000133432719,1.1304530000000002e-11,1.946352e-12,78
1997-10-09,9.7858007e-05,3.198473e-12,4.07280445e-05,5.7129962000000006e-05,-1.64019175e-05,0.000103880495,5.112896000000001e-12,2.1733710000000002e-12,78
1997-10-10,7.349701600000001e-05,2.3532150000000007e-12,4.15127586e-05,3.1984257e-05,9.5285016e-06,7.1118731e-05,2.014832e-12,1.6617610000000004e-12,78
1997-10-13,0.000185625027,1.0097030000000002e-11,8.16627738e-05,0.000103962253,-2.2299479199999995e-05,0.000171496795,9.097387000000002e-12,5.311377000000001e-12,78
1997-10-14,3.7652201e-05,4.858424e-13,1.70888824e-05,2.0563319e-05,-3.4744366e-06,4.5267271e-05,7.699893e-13,2.354766000000001e-13,78
1997-10-15,7.840260100000001e-05,3.5169560000000005e-12,4.27712396e-05,3.5631361e-05,7.1398785999999995e-06,6.0458503e-05,1.301566e-12,6.707076000000001e-13,78
1997-10-16,0.000109073921,7.657134e-12,3.7878547200000005e-05,7.119537400000001e-05,-3.33168268e-05,0.000102450516,9.124258e-12,3.653482000000001e-12,78
1997-10-17,0.000158960106,1.210259e-11,7.62358794e-05,8.2724227e-05,-6.4883476e-06,0.00016691098,1.173703e-11,7.033651000000001e-12,78
1997-10-20,0.000102641688,3.811971000000001e-12,5.838876050000001e-05,4.4252927e-05,1.4135833500000006e-05,9.9740212e-05,3.6991080000000004e-12,1.6690650000000002e-12,78
1997-10-21,4.5462207e-05,7.142701000000002e-13,1.8162939e-05,2.7299268e-05,-9.136329e-06,4.8424458e-05,1.0395200000000002e-12,6.085325e-13,78
1997-10-22,6.8846196e-05,2.0370210000000003e-12,4.735173220000001e-05,2.1494464e-05,2.5857268200000006e-05,6.570939500000001e-05,1.4128500000000002e-12,9.021197e-13,78
1997-10-23,6.2990473e-05,1.183771e-12,2.73555788e-05,3.5634894000000004e-05,-8.279315199999998e-06,6.218606000000001e-05,1.2312750000000005e-12,8.188269000000001e-13,78
1997-10-24,0.000136679044,1.229214e-11,5.5025674000000006e-05,8.165337000000001e-05,-2.6627696e-05,0.000128139614,9.796809e-12,2.837214e-12,78
1997-10-27,7.408385600000001e-05,2.1115700000000005e-12,3.98460273e-05,3.4237829e-05,5.6081983e-06,7.7576654e-05,1.5794879999999998e-12,5.354050000000001e-13,78
1997-10-28,8.358890000000001e-05,2.441239e-12,4.4308803800000006e-05,3.9280096e-05,5.028707800000004e-06,7.828589500000002e-05,1.804303e-12,9.588198e-13,78
1997-10-29,4.3576376e-05,7.521046e-13,2.07088519e-05,2.2867524e-05,-2.1586721000000006e-06,3.7590524e-05,3.8185200000000003e-13,1.8961940000000006e-13,78
1997-10-30,0.000124692096,8.201249e-12,3.8923068e-05,8.576902800000001e-05,-4.684596e-05,0.000120339044,6.836468000000001e-12,3.765747e-12,78
1997-10-31,0.000104070855,4.075134e-12,4.18724011e-05,6.2198454e-05,-2.03260529e-05,0.000105963248,4.412285000000001e-12,2.262157e-12,78
1997-11-03,5.489175e-05,1.109348e-12,3.19623192e-05,2.2929431000000003e-05,9.0328882e-06,5.6444777e-05,9.901937e-13,8.782052000000001e-13,78
1997-11-04,4.9160428e-05,1.532355e-12,3.2838208e-05,1.6322220000000002e-05,1.6515988000000003e-05,4.4944774e-05,5.909458000000001e-13,3.427025e-13,78
1997-11-05,0.000106819243,4.199851e-12,4.35204481e-05,6.3298795e-05,-1.97783469e-05,0.000103312987,4.0854690000000006e-12,1.46176e-12,78
1997-11-06,9.4808513e-05,4.232411e-12,5.19824424e-05,4.282607e-05,9.156372399999996e-06,9.220621100000002e-05,4.2427020000000004e-12,1.801552e-12,78
1997-11-07,3.5660669000000004e-05,5.212477e-13,2.2017415300000003e-05,1.3643254e-05,8.374161300000002e-06,3.7422527e-05,5.141023e-13,1.4678020000000002e-13,78
1997-11-10,0.000194280841,1.4986750000000003e-11,8.078058940000001e-05,0.000113500252,-3.2719662600000004e-05,0.000223143966,3.111296e-11,1.694189e-11,78
1997-11-11,3.8690418e-05,7.449470000000002e-13,2.21160006e-05,1.6574417e-05,5.5415836e-06,3.3740949e-05,4.5016630000000013e-13,2.730905000000001e-13,78
1997-11-12,5.9305474000000006e-05,1.4455e-12,3.6061668400000006e-05,2.3243805000000003e-05,1.2817863400000002e-05,5.5075810000000006e-05,1.164822e-12,4.203437000000001e-13,78
1997-11-13,0.000146901945,2.194252e-11,4.94317015e-05,9.7470243e-05,-4.80385415e-05,0.000136598191,8.609866000000002e-12,3.708417e-12,78
