date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2005-09-29,1.3377248198804127e-05,1.097579819181079e-10,7.766919987623022e-06,5.610328211181106e-06,2.1565917764419154e-06,1.0476544369118468e-05,1517.0,1.7895076937240828e-10
2005-10-02,1.998861391987932e-05,3.194650110244748e-10,9.883885609669703e-06,1.0104728310209618e-05,-2.2084270053991485e-07,1.787358416838869e-05,1540.0,3.995446864379934e-10
2005-10-03,3.8048623112906344e-05,8.151340493663838e-10,9.590986843135388e-06,2.8457636269770956e-05,-1.8866649426635568e-05,2.855055252296151e-05,1540.0,1.447697720787991e-09
2005-10-04,6.518194190544977e-05,3.7429339463912215e-09,2.0126228862617568e-05,4.50557130428322e-05,-2.492948418021463e-05,6.117952227985457e-05,1540.0,4.248685550565428e-09
2005-10-05,0.000133677181141,2.3054066822712464e-08,6.751727266662062e-05,6.615990847437938e-05,1.357364192241232e-06,0.0001518356572835,1532.0,1.7869588757803725e-08
2005-10-06,2.506135449115939e-05,6.386612558745358e-10,1.3057082284715947e-05,1.2004272206443444e-05,1.0528100782725039e-06,2.5271748176066805e-05,1521.0,6.28071488931555e-10
2005-10-09,3.117007910118619e-05,7.038923294656126e-10,1.4587122559726691e-05,1.6582956541459496e-05,-1.9958339817328046e-06,2.65309692522835e-05,1481.0,9.715738311742039e-10
2005-10-10,8.445002314821427e-05,5.209252766180882e-09,3.370587729520682e-05,5.074414585300745e-05,-1.7038268557800627e-05,7.217515338522587e-05,1540.0,7.131806409733926e-09
2005-10-11,0.0001187988798695,9.076520061317302e-09,5.6936761359823763e-05,6.186211850967623e-05,-4.925357149852469e-06,9.527077233505197e-05,1540.0,1.4113173858247891e-08
2005-10-12,0.0001448899145517,2.2860686884234027e-08,9.305001200504259e-05,5.183990254665742e-05,4.1210109458385166e-05,0.0001511975095173,1540.0,2.099308733879893e-08
2005-10-13,6.0932577411118165e-05,2.5803669885478223e-09,4.801841796483081e-05,1.2914159446287354e-05,3.5104258518543454e-05,5.079731280833487e-05,1538.0,3.712778989961908e-09
2005-10-16,4.3544370629469466e-05,8.237249562848464e-10,1.727771408941874e-05,2.6266656540050724e-05,-8.988942450631983e-06,2.8700608988048432e-05,1540.0,1.896112213516603e-09
2005-10-17,4.609069483626941e-05,1.3097320892433365e-09,1.4047421202546755e-05,3.204327363372265e-05,-1.7995852431175898e-05,3.619022090625224e-05,1540.0,2.1243521504901114e-09
2005-10-18,0.0001164719180375,1.5673761313531378e-08,9.175641704277374e-05,2.471550099472627e-05,6.704091604804746e-05,0.0001251948933205,1540.0,1.3565707691334118e-08
2005-10-19,0.0001153299156034,8.944482048641514e-09,4.787926620123954e-05,6.745064940216046e-05,-1.9571383200920925e-05,9.457527186660113e-05,1539.0,1.3300989433087368e-08
2005-10-20,6.251665716139561e-05,2.8056894473501094e-09,3.6348505250711845e-05,2.6168151910683764e-05,1.0180353340028081e-05,5.296875916377605e-05,1540.0,3.908332422635477e-09
2005-10-23,5.275398954976665e-05,1.8418592832084907e-09,3.934724764777841e-05,1.3406741901988244e-05,2.5940505745790166e-05,4.2916888088589214e-05,1514.0,2.782983413416889e-09
2005-10-24,5.4629658721793225e-05,1.7782800448715278e-09,2.460802601520799e-05,3.0021632706585237e-05,-5.413606691377248e-06,4.216965786998429e-05,1535.0,2.9843996120595985e-09
2005-10-25,7.49718577801213e-05,4.049642034151365e-09,3.6050465789012946e-05,3.892139199110836e-05,-2.8709262020954114e-06,6.363679779931863e-05,1540.0,5.6207794590027355e-09
2005-10-26,4.652897848158378e-05,2.051120073922679e-09,1.2235179303117933e-05,3.429379917846585e-05,-2.2058619875347915e-05,4.528929314885229e-05,1532.0,2.164945838539687e-09
2005-10-27,6.784032128912622e-05,3.726164212344144e-09,4.9340117018771435e-05,1.8500204270354787e-05,3.0839912748416644e-05,6.104231493270995e-05,1540.0,4.602309192611872e-09
2005-10-31,5.515635665891536e-05,2.388153202175459e-09,2.752973677503537e-05,2.7626619883879988e-05,-9.688310884461721e-08,4.8868734403250704e-05,1540.0,3.0422236798854766e-09
2005-11-01,3.246543470045365e-05,6.247548092920348e-10,1.4231184368869438e-05,1.823425033158421e-05,-4.003065962714771e-06,2.4995095704798467e-05,1540.0,1.0540044502894198e-09
2005-11-02,3.8113907567364623e-05,1.1435153842384607e-09,3.243582420577873e-05,5.678083361585894e-06,2.6757740844192835e-05,3.381590430904459e-05,1540.0,1.4526699500536142e-09
2005-11-03,3.0234628880941377e-05,6.206970186396134e-10,1.3601253196734416e-05,1.663337568420696e-05,-3.0321224874725445e-06,2.4913791735494887e-05,1540.0,9.141327835682544e-10
2005-11-04,3.537573280424327e-05,1.081623924810464e-09,1.780134256778702e-05,1.757439023645625e-05,2.2695233133077281e-07,3.288805139880537e-05,1540.0,1.2514424714372135e-09
2005-11-07,3.3329768298284685e-05,1.4086749194352235e-09,2.0770093209040624e-05,1.255967508924406e-05,8.210418119796565e-06,3.753231833280784e-05,1540.0,1.1108734548173427e-09
2005-11-08,3.768252284301272e-05,1.0730003300858712e-09,2.0543931395446855e-05,1.7138591447565868e-05,3.4053399478809875e-06,3.275668374676947e-05,1540.0,1.4199725278141758e-09
2005-11-09,3.926888205671666e-05,1.6116951637876454e-09,2.599585302193058e-05,1.327302903478608e-05,1.2722823987144498e-05,4.0145923376946325e-05,1540.0,1.5420450979843235e-09
2005-11-10,6.02767872013523e-05,2.3452173716592535e-09,4.51571085366088e-05,1.5119678664743497e-05,3.0037429871865305e-05,4.8427444405618325e-05,1537.0,3.6332910753171083e-09
2005-11-11,1.3858333652461124e-05,2.2286377450287273e-10,9.142067436590866e-06,4.716266215870258e-06,4.425801220720608e-06,1.4928622659270102e-05,1540.0,1.9205341162293647e-10
2005-11-14,2.7368026645937453e-05,6.067830629026508e-10,9.86182450290645e-06,1.7506202143031004e-05,-7.644377640124555e-06,2.4632966993495745e-05,1540.0,7.490088824927424e-10
2005-11-15,4.8334745838311984e-05,1.3819461012326556e-09,2.3104592107182614e-05,2.523015373112937e-05,-2.125561623946755e-06,3.717453565591177e-05,1538.0,2.3362476552542175e-09
2005-11-16,3.558892793863929e-05,1.4062501470292297e-09,1.4035478524826843e-05,2.1553449413812447e-05,-7.517970888985604e-06,3.750000196038968e-05,1540.0,1.2665717918216602e-09
2005-11-17,1.8638311853939567e-05,2.0729122717680105e-10,1.5348526936621953e-05,3.2897849173176133e-06,1.205874201930434e-05,1.4397611856721275e-05,1540.0,3.4738666876470417e-10
2005-11-18,2.7287550923922308e-05,5.661187232864814e-10,1.3555248412149764e-05,1.3732302511772544e-05,-1.7705409962278013e-07,2.3793249531883648e-05,1540.0,7.446104354256532e-10
2005-11-21,2.7640071037289935e-05,6.700713164979647e-10,2.3032322946684578e-05,4.607748090605359e-06,1.8424574856079217e-05,2.58857357727758e-05,1517.0,7.639735269464339e-10
2005-11-22,2.771579135177152e-05,5.450308922545806e-10,2.1087172419521812e-05,6.628618932249708e-06,1.4458553487272105e-05,2.3345896689880656e-05,1540.0,7.68165090254933e-10
2005-11-23,1.1555731039059655e-05,5.339211199604894e-11,4.8038747031861415e-06,6.751856335873514e-06,-1.9479816326873724e-06,7.306990625151297e-06,1526.0,1.3353491984708675e-10
2005-11-25,2.0229853691542067e-06,3.764938481213167e-12,1.569094371584473e-06,4.538909975697337e-07,1.1152033740147393e-06,1.9403449387191873e-06,804.0,4.0924698038119816e-12
2005-11-28,2.1277692194874837e-05,3.241458346486235e-10,7.086642384373215e-06,1.4191049810501622e-05,-7.1044074261284065e-06,1.8004050506722745e-05,1536.0,4.5274018513983755e-10
2005-11-29,2.6419671326915572e-05,6.878681899818489e-10,1.1950286024850237e-05,1.4469385302065335e-05,-2.519099277215098e-06,2.6227241371937098e-05,1540.0,6.979990330222449e-10
2005-11-30,2.5860040983791732e-05,4.86694265854113e-10,1.3296265677578412e-05,1.256377530621332e-05,7.324903713650916e-07,2.206114833489211e-05,1540.0,6.687417196833881e-10
2005-12-01,1.8013448677144515e-05,3.17200914895179e-10,1.2764984956576293e-05,5.248463720568222e-06,7.516521236008071e-06,1.7810135173411205e-05,1539.0,3.244843332441195e-10
2005-12-02,2.1677662239730836e-05,4.653073975231633e-10,1.0585231255800572e-05,1.1092430983930264e-05,-5.071997281296925e-07,2.1570985084672496e-05,1540.0,4.699210401798522e-10
2005-12-05,1.7635803701126775e-05,2.1522608631171587e-10,1.0937298274503335e-05,6.69850542662344e-06,4.238792847879894e-06,1.467058575216804e-05,1540.0,3.1102157218467684e-10
2005-12-06,3.30817946516102e-05,6.090640140150493e-10,8.627841208224383e-06,2.4453953443385815e-05,-1.5826112235161432e-05,2.4679222313821993e-05,1540.0,1.094405137371305e-09
2005-12-07,3.2590730903453305e-05,1.2237251740738977e-09,1.1837736152359603e-05,2.0752994751093702e-05,-8.9152585987341e-06,3.498178346045121e-05,1540.0,1.0621557408213062e-09
2005-12-08,6.00446990296062e-05,2.480306629135435e-09,2.5706220952914488e-05,3.4338478076691715e-05,-8.632257123777227e-06,4.980267692740457e-05,1540.0,3.605365881555992e-09
2005-12-09,2.7160642438559325e-05,4.56605294661362e-10,1.896548896842096e-05,8.195153470138364e-06,1.0770335498282598e-05,2.136832456374065e-05,1529.0,7.377004976752699e-10
2005-12-12,2.0013603017354637e-05,2.0772249740809966e-10,8.679750632759998e-06,1.133385238459464e-05,-2.6541017518346415e-06,1.4412581219479724e-05,1528.0,4.0054430573626663e-10
2005-12-13,4.2439854554125696e-05,1.7289173060424192e-09,2.9471629741898303e-05,1.2968224812227392e-05,1.650340492967091e-05,4.1580251394651513e-05,1529.0,1.8011412545753436e-09
2005-12-14,2.4592231321447102e-05,6.739758063457552e-10,1.186278930216206e-05,1.2729442019285042e-05,-8.666527171229807e-07,2.5961044014941988e-05,1540.0,6.047778413675639e-10
2005-12-15,1.86705466641968e-05,1.8406718821471863e-10,8.390605110269218e-06,1.027994155392758e-05,-1.8893364436583623e-06,1.3567136330660152e-05,1540.0,3.4858931273995023e-10
2005-12-16,1.0188937016590156e-05,6.735134620554198e-11,3.467271768172234e-06,6.721665248417922e-06,-3.2543934802456885e-06,8.20678659437066e-06,1528.0,1.0381443752804112e-10
2005-12-19,2.023466490687065e-05,2.8888839989948476e-10,3.22164844939325e-06,1.70130164574774e-05,-1.379136800808415e-05,1.6996717327163053e-05,1529.0,4.094416638933426e-10
2005-12-20,3.315865569493637e-05,5.660660656744383e-10,2.082387782645355e-05,1.2334777868482825e-05,8.489099957970723e-06,2.379214293993793e-05,1510.0,1.0994964474953363e-09
2005-12-21,2.390717319947665e-05,6.733958542661715e-10,1.0754531858610905e-05,1.3152641340865744e-05,-2.3981094822548386e-06,2.5949871950862715e-05,1529.0,5.715529303897745e-10
2005-12-22,1.0990285682652905e-05,9.3344306179079e-11,6.52423898860557e-06,4.466046694047335e-06,2.0581922945582348e-06,9.661485712822796e-06,1528.0,1.2078637938632544e-10
2005-12-23,2.86430930528002e-06,4.95264999743112e-12,1.4621181971476232e-06,1.4021911081323966e-06,5.992708901522664e-08,2.2254550090781704e-06,1509.0,8.20426779631371e-12
2005-12-27,3.263572450998162e-05,1.098660722587068e-09,5.494657066316767e-06,2.7141067443664853e-05,-2.1646410377348086e-05,3.314605138756452e-05,1529.0,1.065090514291415e-09
2005-12-28,1.0261449101809822e-05,8.580732195803787e-11,5.85884122453187e-06,4.402607877277952e-06,1.4562333472539181e-06,9.263224166457263e-06,1523.0,1.052973376690336e-10
2005-12-29,2.1278868154479145e-05,2.53250782247067e-10,6.926338672059224e-06,1.435252948241992e-05,-7.426190810360696e-06,1.5913855040406362e-05,1529.0,4.5279022993570665e-10
2005-12-30,1.3388854890217784e-05,1.55985716471803e-10,6.298763932147736e-06,7.0900909580700485e-06,-7.913270259223126e-07,1.2489424184957567e-05,1528.0,1.7926143527130867e-10
2006-01-03,8.018616394905341e-05,4.575641714226e-09,6.659069358468613e-05,1.359547036436728e-05,5.2995223220318846e-05,6.764348981406858e-05,1540.0,6.4298208888644726e-09
2006-01-04,3.0125371653664753e-05,1.0119032420511246e-09,1.9411360519467037e-05,1.0714011134197716e-05,8.69734938526932e-06,3.181042662478962e-05,1499.0,9.075380172714278e-10
2006-01-05,1.942057898097065e-05,4.3464610477312536e-10,9.472228742144926e-06,9.948350238825725e-06,-4.7612149668079895e-07,2.084816789967707e-05,1521.0,3.77158887956119e-10
2006-01-06,1.753707839561517e-05,2.2969605082388905e-10,1.4124293819944048e-05,3.412784575671122e-06,1.0711509244272927e-05,1.515572666762927e-05,1517.0,3.075491186539523e-10
2006-01-09,1.4100165906904013e-05,1.5551318494834413e-10,9.106692191026541e-06,4.993473715877471e-06,4.11321847514907e-06,1.2470492570397696e-05,1533.0,1.9881467860221826e-10
2006-01-10,3.1532955137716154e-05,8.909821398603833e-10,2.06616122021115e-05,1.0871342935604655e-05,9.790269266506844e-06,2.984932394310436e-05,1529.0,9.943272597172196e-10
2006-01-11,2.7886687147845487e-05,6.067039994071861e-10,1.2481102752542787e-05,1.54055843953027e-05,-2.9244816427599137e-06,2.4631362110268815e-05,1538.0,7.776673200818107e-10
2006-01-12,2.0922332772883604e-05,4.97167820496387e-10,6.847993215282033e-06,1.407433955760157e-05,-7.226346342319538e-06,2.2297260380961313e-05,1499.0,4.377440086592793e-10
2006-01-13,1.605823032244457e-05,1.8545258489938594e-10,9.170294364364161e-06,6.887935958080408e-06,2.282358406283753e-06,1.3618097697526844e-05,1530.0,2.578667610886782e-10
2006-01-17,1.4470550264861302e-05,2.1541432703200324e-10,7.681141071240725e-06,6.789409193620578e-06,8.917318776201456e-07,1.4676999932956436e-05,1529.0,2.093968249678775e-10
2006-01-18,2.3550873015068297e-05,4.627253531661397e-10,1.4454255253920481e-05,9.096617761147816e-06,5.3576374927726645e-06,2.1511051884232433e-05,1519.0,5.546436197718721e-10
2006-01-19,2.0192447510184233e-05,3.2749072045836024e-10,1.5031894967112318e-05,5.1605525430719145e-06,9.871342424040404e-06,1.8096704685062423e-05,1540.0,4.0773493645154544e-10
2006-01-20,3.3913397208960316e-05,1.251290354719896e-09,9.016316001472185e-06,2.489708120748813e-05,-1.5880765206015946e-05,3.537358272383356e-05,1540.0,1.1501185102527173e-09
2006-01-23,2.83002484534305e-05,4.3611935114002827e-10,1.3957724765973372e-05,1.4342523687457129e-05,-3.847989214837565e-07,2.0883470763741076e-05,1540.0,8.009040625258955e-10
2006-01-24,3.7199877475013766e-05,1.3850593317945455e-09,2.7351400187937248e-05,9.84847728707652e-06,1.7502922900860727e-05,3.7216385259648006e-05,1530.0,1.3838308841560366e-09
2006-01-25,3.283870757367349e-05,5.604273775144905e-10,1.5405102606483747e-05,1.743360496718974e-05,-2.0285023607059937e-06,2.3673347408309e-05,1536.0,1.0783807151092405e-09
